company,founder,dateFounded,description,ugArea,ug,gArea,g,disciplines,degreeYear,exit,exitDetails,category,skyDeck
Eclipse Therapeutics,Christopher Reyes,,('Eclipse') is a private biotechnology company dedicated to the discovery and development of therapeutics that target cancer stem cells (CSCs) and other forms of innovative cancer treatment.,Bio Sciences,Molecular and Cell Biology,none,none,"BA, Molecular and Cell Biology, Biophysics (1995)",1995,yes,Acquired by Bionomics in 2012,BioTech,
Eko Devices,Connor Landgraf,2013,provides physicians with certainty when diagnosing heart conditions. We've built one of the world's first stethoscopes that can automatically detect heart murmurs.,Engineering,Bioengineering,none,none,"BS, Bioengineering (2013)",2013,not yet,,Medical,yes
Eko Devices,Patrick Rogers,2013,provides physicians with certainty when diagnosing heart conditions. We've built one of the world's first stethoscopes that can automatically detect heart murmurs.,Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2013)",2013,not yet,,Medical,yes
Elastic Intelligence,Nel Blumenfield,2010,"is the developer and marketer of the Connection Cloud, the first and only real-time SQL-based Platform-as-a-Service for connecting to your SaaS data for reporting, BI and application development.",Social Sciences,Political Science,none,none,"BA, Political Science",,yes,Acquired by Intuit in 2013,Enterprise,
Elastic Intelligence,Roger Sippl,2010,"is the developer and marketer of the Connection Cloud, the first and only real-time SQL-based Platform-as-a-Service for connecting to your SaaS data for reporting, BI and application development.",Engineering,Computer Science,none,none,"BS, Computer Science",,yes,Acquired by Intuit in 2013,Enterprise,
Embark,Ian Leighton,2011,"is a mobile application designed to make it easy to get around cities using mass transit. Among other features, the iOS and Android application tells users when trains and busses are coming and will send push notifications when services are delayed. ",Engineering,Mechanical Engineering,none,none,"BS, Mechanical Engineering (2011)",2011,yes,Acquired by Apple in 2013,Transportation,
Ender's Fund,Alexander Wong,2011,"produces engaging, asynchronous, casual games that are turn-based and inherently social.",Engineering,Electrical Engineering,none,none,"BS, Electrical Engineering (2010)",2010,not yet,,Games/Entertainment,
Enome,Daniel Yoo,2011,(goalbookapp.com) is a secure platform for schools to manage and collaborate around student Individual Learning Plans (ILPs).,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2001)",2001,not yet,,Education,
Enplug,Nanxi Liu,2012,has built the next generation network of intelligent screens inside popular venues by transforming traditional digital screens from one-way communication channels to interactive two-way media channels.,Business,Business Administration,none,none,"BS, Business Administration / BA, Political Economy (2012)",2012,not yet,,Software,
Everspring,Alon Krashinsky,2011,"helps universities design and deliver the future of education, online. Everspring partners with leading universities who embrace innovation, and are seeking to start or expand their online programs.",Business,Business Administration,none,none,"BS, Business Administration (2002)",2002,not yet,,Education,
Famous Industries,Mark Lu,2011,designs and develops development infrastructure that enables developers to create two dimensional and three dimensional gesture based interfaces and deploy them to any mobile or desktop device.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2012)",2012,not yet,,Software,
Fanzy,Tuhin Roy,2011,is the world's most proven social loyalty and referral platform. Fanzy enables brands to attract and reward top social fans who create buzz and share links to website revenue events.,Social Sciences,Anthropology,none,none,"BA, Anthropology (1990)",1990,not yet,,Enterprise,
FitStar Labs,Mike Maser,2012,is on a mission to inspire people to live healthier lives by creating innovative health and fitness apps.,Social Sciences,Economics,none,none,"BA, Economics (1993)",1993,not yet,,Health/Fitness,
Flotype,Eric Zhang,2010,is a venture-backed company building a suite of enterprise technology for real-time messaging.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2013)",2013,not yet,,Enterprise,
Flotype,Sridatta Thatipamala,2010,is a venture-backed company building a suite of enterprise technology for real-time messaging.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science",,not yet,,Enterprise,
FreeMonee,Gadi Maier,2009,is changing the economics of advertising by enabling stores and restaurants to attract customers on demand using FreeMonee Gifts.,Social Sciences,Natural Resource Economics,business,Business Administration,"BS, Natural Resource Economics; MBA",,not yet,,Advertising,
FSAStore,Jeremy Miller,2010,"is the one-stop shopping source for all things FSA, offering thousands of FSA eligible products and services on the web.",Business,Business Administration,none,none,"BS, Business Administration (2001)",2001,not yet,,eCommerce,
FunSockets (Goko),Kevin Binkley,2011,(a.k.a. Goko) operates as a HTML5 gaming company. It provides a platform to publish and monetize HTML5 games.,Bio Sciences,Chemistry,none,none,"BS, Chemistry / BA, Applied Math (1988)",1988,not yet,,Games/Entertainment,
FunSockets (Goko),Ted Griggs,2011,(a.k.a. Goko) operates as a HTML5 gaming company. It provides a platform to publish and monetize HTML5 games.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science",,not yet,,Games/Entertainment,
Geekatoo,Christian Shelton,2011,offers at-home tech support at prices up to 75% off of Geek Squad. We offer a range of fix-priced services and an auction model for custom jobs.,Social Sciences,Political Science,none,none,"BA, Political Science & History",,not yet,,Consumer Web,
GetMyBoat,Sascha Mornell,2012,is the world's largest and fastest growing peer-to-peer boat rental and charter marketplace.,Social Sciences,Economics,none,none,"BA , History (1990)",1990,not yet,,Consumer Web,
GGL Projects (SiteJabber),Rod Gin,2008,is a consumer protection service which helps consumers avoid fraudulent websites and find sites they will love using community reviews.,Social Sciences,Economics,none,none,"BA, Economics; BS, Biochemistry (1992)",1992,not yet,,Consumer Web,
Ginger.io,Karan Singh,2011,"is a behavior analytics company, and spinoff of the MIT Media Lab. We use big data from mobile phones to model user behavior, and make inferences about health and wellness.",Business,Business Administration,none,none,"BS, Business Administration; BA, Economics (2005)",2005,not yet,,Analytics/Big Data,
Green Throttle Games,Charles Huang,2012,"develops high-quality, innovative games and hardware for mobile devices.",Social Sciences,Economics,none,none,"BA, Economics; BA, Asian Studies (1992)",1992,not yet,,Games/Entertainment,
GreenStack,David Hehman,2012,makes it easy to discover and combine local dining discounts.,Social Sciences,Social Science,business,Business Administration,"BA, Social Science (1992); MBA (1998)",1998,yes,Acquired by Edtuit in 2013,Mobile/Wireless,
Histogen,Laurence Tarrant,2007,seeks to redefine regenerative medicine by developing a series of high value products that do not contain embryonic stem cells or animal components.,Bio Sciences,Zoology,biosciences,Developmental Genetics,"BA, Zoology; PhD, Developmental Genetics",,not yet,,BioTech,
Imbookin (Pogby),Joshua Gooch,2008,connects event planners and venues via the web.,Social Sciences,Environmental Economics and Policy,none,none,"BA, Environmental Economics and Policy (1997)",1997,not yet,,Consumer Web,
inDinero,Andy Su,2009,creates software to help small businesses better track and manage their finances. ,Engineering,Computer Science,none,none,"BS, Computer Science (2010)",2010,not yet,,Software,
inDinero,Jessica Mah,2009,creates software to help small businesses better track and manage their finances. ,Engineering,Computer Science,none,none,"BS, Computer Science (2010)",2010,not yet,,Software,
Infer,Chung Wu,2010,delivers data-powered business applications that help companies win more customers.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2005)",2005,not yet,,Enterprise,
Infer,Vik Singh,2010,delivers data-powered business applications that help companies win more customers.,Engineering,Computer Science,none,none,"BS, Computer Science",,not yet,,Enterprise,
Infer,Yang Zhang,2010,delivers data-powered business applications that help companies win more customers.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2005)",2005,not yet,,Enterprise,
Joyride,Jeff Chen,2012,makes drive time more fun and more interesting. Drivers can now listen to the internet they love while driving.,Engineering,Computer Science,engineering,Computer Science,"BS (2005), MS (2007) Computer Science",2007,not yet,,Mobile/Wireless,
jybe,Tuoc Luong,2011,is an early-stage startup focused on connecting people to the physical world around them.,Engineering,Computer Science,none,none,"BS, Computer Science (1983)",1983,yes,Acquired by Yahoo in 2013,Consumer Web,
Kachingle,Cynthia Typaldos,2010,is a robust usage-based micropayment platform capable of collecting and distributing monies in a myriad of different ways.,Bio Sciences,Chemistry,none,none,"AB, Chemistry / Computer Science (1972)",1972,not yet,,eCommerce,
Kloudless,Eliot Sun,2011,is a toolkit for cloud storage users and developers. We put cloud storage services in the places you need them to be.,Social Sciences,Economics,none,none,"BA, Economics; BA, Mathematics (2010)",2010,not yet,,Software,yes
Kloudless,Timothy Liu,2011,is a toolkit for cloud storage users and developers. We put cloud storage services in the places you need them to be.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2010)",2010,not yet,,Software,yes
Kloudless,Vinod Chandru,2011,is a toolkit for cloud storage users and developers. We put cloud storage services in the places you need them to be.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2012)",2012,not yet,,Software,yes
Korrio,Steve Goldman,2009,"is the developer of Playflow, a 21st-century youth sports automation platform. Korrio has a singular focus on kids and sports. ",Social Sciences,Economics,none,none,"BA, Economics (1983)",1983,not yet,,Consumer Web,
LawPivot,Steven Kam,2009,is a Quora for startup legal advice. ,Engineering,Computer Science,social,Law,"BA, Computer Science / Economics (1998); JD (2005)",2005,yes,Acquired by Rocket Lawyer in 2013,Legal,
LearnStreet,Aakash Prasad,2012,is an early-stage startup focused on changing the way people of all backgrounds and skill levels learn how to code. ,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2012)",2012,not yet,,Education,
Linea Photosharing,George Dy,2011,is a company dedicated to the idea that the best thing about taking photos is seeing how they all come together to tell our stories.,Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2010)",2010,closed,"Closed on Jan 1, 2014",Photo/Video,
Local Bigwig,Ray Madronio,2011,is a booking platform for furnished monthly and extended stay hotels.,Business,Business Administration,none,none,"BS, Business Administration (1997)",1997,not yet,,Consumer Web,
Maginatics,Jay Kistler,2010,simplifies and modernizes enterprise storage.,Business,Business Administration,none,none,"BS, Business Administration",,not yet,,Data Storage,
Magoosh,Pejman Pour-Moezzi,2009,"is an online test prep company based in Berkeley, California that teaches students through video explanations and lessons.",Bio Sciences,Cognitive Science,business,Business Administration,"BA, Cognitive Science (2005); MBA (2010)",2010,not yet,,Consumer Web,
Meograph,Francis Escuadro,2012,"Meograph is building the next Adobe. The team is from MIT, Berkeley, and McKinsey.",Arts & Humanities,English,none,none,"BA, English (2004)",2004,not yet,,Software,
Meograph,Misha Leybovich,2012,"Meograph is building the next Adobe. The team is from MIT, Berkeley, and McKinsey.",Engineering,Engineering,none,none,"BS, Engineering Physics (2005)",2005,not yet,,Software,
Merchantry,Edward Shenderovich,2004,makes marketplaces possible through  cloud-based technology infrastructure.,Arts & Humanities,Slavic Languages and Literatures,none,none,"BA, Slavic Languages and Literatures (1998)",1998,not yet,,eCommerce,
